_date,total_views,unique_views
2024-07-30,41,1
2024-07-31,1,1
2024-08-04,1,1
2024-08-06,92,1
2024-08-07,16,2
2024-08-08,2,1
2024-08-09,2,1
2024-08-13,1,1
2024-08-22,9,1
2024-08-23,2,1
2024-09-09,1,1
2024-09-24,11,1
2024-09-25,1,1
2024-10-07,4,1
2024-11-01,9,1
2024-11-03,1,1
2024-11-05,1,1
2024-11-06,1,1
2024-11-07,1,1
2024-11-08,2,1
2024-11-11,1,1
2024-11-27,1,1
2024-12-10,3,2
2024-12-27,1,1
2024-12-29,1,1
2024-12-30,1,1
2025-01-14,1,1
2025-01-24,1,1
2025-02-21,1,1
2025-03-04,1,1
2025-03-05,1,1
2025-03-09,13,1
2025-03-26,1,1
2025-04-30,2,1
2025-05-21,13,3
